module,rank,record id,file name,mount pt,fs type,POSIX_ACCESS1_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_ACCESS,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_ACCESS,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_ACCESS,POSIX_ACCESS4_COUNT,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_DUPS,POSIX_FASTEST_RANK,POSIX_FASTEST_RANK_BYTES,POSIX_FDSYNCS,POSIX_FILENOS,POSIX_FILE_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FSYNCS,POSIX_F_CLOSE_END_TIMESTAMP,POSIX_F_CLOSE_START_TIMESTAMP,POSIX_F_FASTEST_RANK_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_OPEN_END_TIMESTAMP,POSIX_F_OPEN_START_TIMESTAMP,POSIX_F_READ_END_TIMESTAMP,POSIX_F_READ_START_TIMESTAMP,POSIX_F_READ_TIME,POSIX_F_SLOWEST_RANK_TIME,POSIX_F_VARIANCE_RANK_BYTES,POSIX_F_VARIANCE_RANK_TIME,POSIX_F_WRITE_END_TIMESTAMP,POSIX_F_WRITE_START_TIMESTAMP,POSIX_F_WRITE_TIME,POSIX_MAX_BYTE_READ,POSIX_MAX_BYTE_WRITTEN,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_MEM_ALIGNMENT,POSIX_MEM_NOT_ALIGNED,POSIX_MMAPS,POSIX_MODE,POSIX_OPENS,POSIX_READS,POSIX_RENAMED_FROM,POSIX_RENAME_SOURCES,POSIX_RENAME_TARGETS,POSIX_RW_SWITCHES,POSIX_SEEKS,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_READ_100M_1G,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_10M_100M,POSIX_SIZE_READ_1G_PLUS,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_1M_4M,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100K_1M,POSIX_SIZE_WRITE_100M_1G,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_10M_100M,POSIX_SIZE_WRITE_1G_PLUS,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_1M_4M,POSIX_SIZE_WRITE_4M_10M,POSIX_SLOWEST_RANK,POSIX_SLOWEST_RANK_BYTES,POSIX_STATS,POSIX_STRIDE1_COUNT,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_COUNT,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_COUNT,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_COUNT,POSIX_STRIDE4_STRIDE,POSIX_WRITES
POSIX,0,15367674955512511225,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000000,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.640537,0.418119,0.000000,0.000166,0.142885,0.069322,0.460669,0.063968,0.640307,0.460908,0.127995,0.000000,0.000000,0.000000,0.409395,0.065473,0.301779,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,1,11398843100178714727,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000001,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.642171,0.301509,0.000000,0.000185,0.017467,0.070882,0.461580,0.063955,0.641963,0.461831,0.129337,0.000000,0.000000,0.000000,0.293676,0.065806,0.182029,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,10,12345831071845967522,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000010,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.641961,0.336035,0.000000,0.000187,0.023468,0.073768,0.460967,0.063914,0.641737,0.461169,0.129442,0.000000,0.000000,0.000000,0.293732,0.069726,0.216022,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,11,11145376165469750224,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000011,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.639220,0.329321,0.000000,0.000166,0.059041,0.068265,0.460583,0.063869,0.638971,0.460788,0.127685,0.000000,0.000000,0.000000,0.319592,0.066002,0.213093,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,12,2354577113860989618,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000012,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.639756,0.288430,0.000000,0.000198,0.014394,0.069943,0.461027,0.063897,0.639523,0.461281,0.127998,0.000000,0.000000,0.000000,0.281146,0.067436,0.170311,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,13,3819795683025596577,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000013,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.630784,0.272629,0.000000,0.000198,0.013413,0.067163,0.460928,0.063857,0.630461,0.461147,0.120153,0.000000,0.000000,0.000000,0.264059,0.066760,0.156441,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,14,5785212007883342794,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000014,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.633392,0.280417,0.000000,0.000198,0.013985,0.070045,0.460935,0.063871,0.633130,0.461194,0.122794,0.000000,0.000000,0.000000,0.273823,0.068686,0.161904,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,15,6636861728846678777,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000015,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.653958,0.304778,0.000000,0.000199,0.018935,0.075994,0.460533,0.063860,0.653738,0.460779,0.138692,0.000000,0.000000,0.000000,0.296765,0.068017,0.181828,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,2,3903788850283415602,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000002,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.640484,0.458903,0.000000,0.000178,0.039030,0.072810,0.460916,0.063863,0.640228,0.461115,0.128237,0.000000,0.000000,0.000000,0.307242,0.069373,0.338860,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
POSIX,3,328771747969784958,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t128_n16_r3.00000003,/work,lustre,128,102400,0,0,0,0,0,0,6553600,6553600,51199,51199,0,0,0,0,0,1048576,102386,1,0.635422,0.458960,0.000000,0.000181,0.027792,0.065675,0.460651,0.063937,0.635175,0.460886,0.124425,0.000000,0.000000,0.000000,0.287002,0.064791,0.344984,6553599,6553599,128,128,8,0,-1,436,2,51200,0,0,0,1,102400,51199,51199,0,0,0,51200,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
