module,rank,record id,file name,mount pt,fs type,POSIX_ACCESS1_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_ACCESS,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_ACCESS,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_ACCESS,POSIX_ACCESS4_COUNT,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_DUPS,POSIX_FASTEST_RANK,POSIX_FASTEST_RANK_BYTES,POSIX_FDSYNCS,POSIX_FILENOS,POSIX_FILE_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FSYNCS,POSIX_F_CLOSE_END_TIMESTAMP,POSIX_F_CLOSE_START_TIMESTAMP,POSIX_F_FASTEST_RANK_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_OPEN_END_TIMESTAMP,POSIX_F_OPEN_START_TIMESTAMP,POSIX_F_READ_END_TIMESTAMP,POSIX_F_READ_START_TIMESTAMP,POSIX_F_READ_TIME,POSIX_F_SLOWEST_RANK_TIME,POSIX_F_VARIANCE_RANK_BYTES,POSIX_F_VARIANCE_RANK_TIME,POSIX_F_WRITE_END_TIMESTAMP,POSIX_F_WRITE_START_TIMESTAMP,POSIX_F_WRITE_TIME,POSIX_MAX_BYTE_READ,POSIX_MAX_BYTE_WRITTEN,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_MEM_ALIGNMENT,POSIX_MEM_NOT_ALIGNED,POSIX_MMAPS,POSIX_MODE,POSIX_OPENS,POSIX_READS,POSIX_RENAMED_FROM,POSIX_RENAME_SOURCES,POSIX_RENAME_TARGETS,POSIX_RW_SWITCHES,POSIX_SEEKS,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_READ_100M_1G,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_10M_100M,POSIX_SIZE_READ_1G_PLUS,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_1M_4M,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100K_1M,POSIX_SIZE_WRITE_100M_1G,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_10M_100M,POSIX_SIZE_WRITE_1G_PLUS,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_1M_4M,POSIX_SIZE_WRITE_4M_10M,POSIX_SLOWEST_RANK,POSIX_SLOWEST_RANK_BYTES,POSIX_STATS,POSIX_STRIDE1_COUNT,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_COUNT,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_COUNT,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_COUNT,POSIX_STRIDE4_STRIDE,POSIX_WRITES
POSIX,0,1305504808743725551,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000000,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.547928,16.486706,0.000000,0.000016,0.222532,0.040917,22.471276,0.283421,22.547735,22.471388,0.053266,0.000000,0.000000,0.000000,16.486136,0.284591,16.154074,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,1,10991816924216698422,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000001,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.561921,22.469844,0.000000,0.000020,0.276085,0.047567,22.471339,0.283462,22.561733,22.471474,0.064168,0.000000,0.000000,0.000000,22.469251,0.287635,22.129419,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,10,4763714152961162847,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000010,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.564769,20.495539,0.000000,0.000016,0.126357,0.048790,22.471766,0.283432,22.564396,22.471876,0.067151,0.000000,0.000000,0.000000,20.494866,0.288731,20.149882,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,11,2779531116638840692,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000011,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.543753,19.152708,0.000000,0.000013,0.208221,0.044942,22.471737,0.283530,22.543473,22.471848,0.051219,0.000000,0.000000,0.000000,19.152079,0.289176,18.813140,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,12,8928332115042960029,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000012,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.543087,19.414672,0.000000,0.000013,0.209595,0.040649,22.471373,0.283445,22.542725,22.471483,0.050893,0.000000,0.000000,0.000000,19.414070,0.287243,19.081966,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,13,13331939878306544429,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000013,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.543922,17.184510,0.000000,0.000013,0.207457,0.038110,22.471617,0.283444,22.543589,22.471746,0.051244,0.000000,0.000000,0.000000,17.183855,0.285261,16.858960,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,14,7779643148677831808,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000014,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.544189,19.504229,0.000000,0.000012,0.209587,0.040306,22.471690,0.283507,22.544007,22.471793,0.051717,0.000000,0.000000,0.000000,19.503617,0.286402,19.172213,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,15,7483144235127141880,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000015,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.543392,15.595374,0.000000,0.000021,0.063595,0.037985,22.471309,0.283431,22.543081,22.471408,0.051389,0.000000,0.000000,0.000000,15.594824,0.285640,15.266828,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,2,17157080975382945047,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000002,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.547132,19.155421,0.000000,0.000014,0.218854,0.045273,22.471797,0.283433,22.546867,22.471905,0.054550,0.000000,0.000000,0.000000,19.154842,0.289353,18.811982,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
POSIX,3,8361890938708452389,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000003,/work,lustre,256,51200,0,0,0,0,0,0,6553600,6553600,25599,25599,0,0,0,0,0,1048576,51186,1,22.543675,19.925167,0.000000,0.000020,0.104661,0.043455,22.471747,0.283540,22.543370,22.471879,0.051033,0.000000,0.000000,0.000000,19.924601,0.288453,19.587849,6553599,6553599,256,256,8,0,-1,436,2,25600,0,0,0,1,51200,25599,25599,0,0,0,25600,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600
