module,rank,record id,file name,mount pt,fs type,POSIX_ACCESS1_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_ACCESS,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_ACCESS,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_ACCESS,POSIX_ACCESS4_COUNT,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_DUPS,POSIX_FASTEST_RANK,POSIX_FASTEST_RANK_BYTES,POSIX_FDSYNCS,POSIX_FILENOS,POSIX_FILE_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FSYNCS,POSIX_F_CLOSE_END_TIMESTAMP,POSIX_F_CLOSE_START_TIMESTAMP,POSIX_F_FASTEST_RANK_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_OPEN_END_TIMESTAMP,POSIX_F_OPEN_START_TIMESTAMP,POSIX_F_READ_END_TIMESTAMP,POSIX_F_READ_START_TIMESTAMP,POSIX_F_READ_TIME,POSIX_F_SLOWEST_RANK_TIME,POSIX_F_VARIANCE_RANK_BYTES,POSIX_F_VARIANCE_RANK_TIME,POSIX_F_WRITE_END_TIMESTAMP,POSIX_F_WRITE_START_TIMESTAMP,POSIX_F_WRITE_TIME,POSIX_MAX_BYTE_READ,POSIX_MAX_BYTE_WRITTEN,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_MEM_ALIGNMENT,POSIX_MEM_NOT_ALIGNED,POSIX_MMAPS,POSIX_MODE,POSIX_OPENS,POSIX_READS,POSIX_RENAMED_FROM,POSIX_RENAME_SOURCES,POSIX_RENAME_TARGETS,POSIX_RW_SWITCHES,POSIX_SEEKS,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_READ_100M_1G,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_10M_100M,POSIX_SIZE_READ_1G_PLUS,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_1M_4M,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100K_1M,POSIX_SIZE_WRITE_100M_1G,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_10M_100M,POSIX_SIZE_WRITE_1G_PLUS,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_1M_4M,POSIX_SIZE_WRITE_4M_10M,POSIX_SLOWEST_RANK,POSIX_SLOWEST_RANK_BYTES,POSIX_STATS,POSIX_STRIDE1_COUNT,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_COUNT,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_COUNT,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_COUNT,POSIX_STRIDE4_STRIDE,POSIX_WRITES
POSIX,0,8400763814197154277,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000000,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.318010,0.202908,0.000000,0.000156,0.011830,0.018565,0.272788,0.082727,0.317781,0.272852,0.032336,0.000000,0.000000,0.000000,0.174929,0.083468,0.106297,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,1,90231035209433980,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000001,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.324539,0.270814,0.000000,0.000145,0.052893,0.024168,0.272418,0.082777,0.324248,0.272440,0.037516,0.000000,0.000000,0.000000,0.228157,0.087523,0.168916,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,10,6275196018644935627,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000010,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.318242,0.194893,0.000000,0.000181,0.014326,0.023525,0.272465,0.082806,0.317984,0.272489,0.032758,0.000000,0.000000,0.000000,0.185763,0.088518,0.092839,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,11,16656163032708658498,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000011,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.317970,0.231558,0.000000,0.000138,0.054832,0.019838,0.272598,0.082760,0.317745,0.272620,0.032454,0.000000,0.000000,0.000000,0.216450,0.084899,0.133544,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,12,5041712423711253550,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000012,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.320311,0.190823,0.000000,0.000183,0.009420,0.022569,0.272796,0.082697,0.320097,0.272863,0.034062,0.000000,0.000000,0.000000,0.172202,0.087040,0.090640,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,13,8531410900402442526,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000013,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.316379,0.182213,0.000000,0.000185,0.009545,0.021329,0.272865,0.082795,0.316044,0.272893,0.030923,0.000000,0.000000,0.000000,0.173576,0.086823,0.082666,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,14,880831460789580750,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000014,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.316832,0.208979,0.000000,0.000174,0.037778,0.019920,0.272632,0.082733,0.316563,0.272654,0.031436,0.000000,0.000000,0.000000,0.200681,0.085206,0.110739,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,15,1607161106955372094,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000015,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.333192,0.223122,0.000000,0.000152,0.029144,0.026164,0.272363,0.082695,0.332961,0.272386,0.043528,0.000000,0.000000,0.000000,0.215556,0.085500,0.119988,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,2,13559910140930696363,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000002,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.319340,0.196460,0.000000,0.000184,0.003565,0.024144,0.272471,0.082805,0.319118,0.272544,0.033683,0.000000,0.000000,0.000000,0.181664,0.088228,0.093327,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
POSIX,3,12346635672087884681,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t512_n16_r1.00000003,/work,lustre,512,25600,0,0,0,0,0,0,6553600,6553600,12799,12799,0,0,0,0,0,1048576,25586,1,0.317749,0.222661,0.000000,0.000139,0.013403,0.019517,0.272392,0.082695,0.317420,0.272465,0.032271,0.000000,0.000000,0.000000,0.178480,0.084514,0.124870,6553599,6553599,512,512,8,0,-1,436,2,12800,0,0,0,1,25600,12799,12799,0,0,0,12800,0,0,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800
